transaction_id,Sender,Receiver,Amount,Gas_Price,Gas_Used,Timestamp,Sender_Receiver_Count,Nonce_Jump,Contract_Interaction_Frequency,Failed_Transactions,Transaction_Fee,Time_Anomaly,Cyclic_Transactions,New_Account_Transaction
1,0xSender00102,0xReceiver00181,0.085330726,186.9326616,88579,1673130786,1,1,0,0,16558308.23,0,0,0
2,0xSender00435,0xReceiver00012,2.270314307,88.94788631,153774,1672581167,1,2,0,0,13677872.27,0,0,0
3,0xSender00348,0xReceiver00338,1.599028904,47.33955236,452931,1672801384,2,1,0,0,21441550.79,0,0,0
4,0xSender00270,0xReceiver00284,3.52646593,52.33573682,64889,1673788743,1,1,0,0,3396013.626,0,0,0
5,0xSender00106,0xReceiver00258,2.050458073,140.5697514,426978,1673180458,1,1,0,0,60020191.32,0,0,0
6,0xSender00071,0xReceiver00089,6.476460599,93.35475615,55155,1674083358,1,1,0,0,5148981.576,0,0,0
7,0xSender00188,0xReceiver00103,3.566060664,48.1366277,148782,1674856036,2,1,0,1,7161863.743,0,1,0
8,0xSender00020,0xReceiver00378,0.694944049,72.60083388,165454,1674933511,1,1,0,0,12012098.37,1,5,0
9,0xSender00102,0xReceiver00185,6.932698439,115.508913,375336,1673073669,1,1,0,0,43354653.36,0,1,0
10,0xSender00121,0xReceiver00249,0.522520502,41.86014805,50852,1674484310,2,1,0,0,2128672.249,0,5,0
11,0xSender00466,0xReceiver00254,9.133281762,20.61964981,149329,1674652459,1,10,20,0,3079111.686,0,0,0
12,0xSender00214,0xReceiver00075,13.39893163,185.1136485,134417,1673072560,1,2,0,0,24882421.3,0,0,0
13,0xSender00330,0xReceiver00385,1.946324885,74.87501434,69843,1674852999,1,1,0,0,5229495.627,0,0,0
14,0xSender00458,0xReceiver00458,13.02809761,59.86966616,338122,1674936451,1,1,1,0,20243251.26,0,1,0
15,0xSender00087,0xReceiver00107,7.875379513,145.7265458,315274,1672711220,1,10,0,0,45943790.99,0,1,1
16,0xSender00372,0xReceiver00155,12.78323431,173.61249,424404,1674232176,1,2,0,0,73681835.2,0,0,0
17,0xSender00099,0xReceiver00081,5.487117032,133.8101781,311412,1673083966,1,1,0,0,41670095.19,0,0,0
18,0xSender00359,0xReceiver00076,1.343608407,65.80689574,376486,1672691169,1,1,0,0,24775374.95,0,1,0
19,0xSender00151,0xReceiver00484,11.24632303,175.0945922,462114,1672823372,1,1,1,2,80913662.38,0,0,0
20,0xSender00130,0xReceiver00469,1.018329125,111.8768953,135629,1674920608,1,1,0,1,15173751.43,0,0,0
21,0xSender00149,0xReceiver00459,1.198019863,88.61434453,460834,1673373205,1,2,0,0,40836502.85,0,0,0
22,0xSender00308,0xReceiver00257,1.580839785,128.8507015,308970,1673894146,1,1,0,0,39811001.25,0,0,0
23,0xSender00257,0xReceiver00126,1.813797885,146.1102003,315139,1673254621,1,50,0,0,46045022.4,0,0,0
24,0xSender00343,0xReceiver00484,3.612670302,126.8893773,156534,1674926642,1,1,0,0,19862501.79,0,0,0
25,0xSender00491,0xReceiver00390,6.249339624,185.6441802,55804,1674066389,2,1,0,0,10359687.83,0,5,0
26,0xSender00413,0xReceiver00281,13.03253659,133.0432051,240397,1672789666,1,1,1,0,31983187.37,0,0,0
27,0xSender00293,0xReceiver00473,0.462976074,178.1445283,175245,1674672920,1,1,1,0,31218937.86,0,0,0
28,0xSender00385,0xReceiver00087,15.43587954,125.6525183,332833,1675096347,1,1,0,0,41821304.63,0,0,0
29,0xSender00191,0xReceiver00203,12.71201999,79.34232327,151090,1674985312,1,1,1,0,11987831.62,0,0,0
30,0xSender00443,0xReceiver00015,0.277559809,115.8134271,276506,1674298743,1,50,1,1,32023107.49,0,5,0
31,0xSender00276,0xReceiver00150,2.233945031,35.54060414,248343,1674524295,1,1,20,0,8826260.253,0,0,0
32,0xSender00160,0xReceiver00423,8.387068747,61.4314341,80496,1672997476,1,1,0,2,4944984.719,0,0,0
33,0xSender00459,0xReceiver00253,4.728295784,157.9216992,423198,1673069838,1,1,5,1,66832147.26,0,1,0
34,0xSender00313,0xReceiver00187,7.550088755,139.0656099,378578,1672898096,1,1,0,1,52647180.47,0,0,0
35,0xSender00021,0xReceiver00328,6.3475963,49.9733679,355543,1672996718,1,1,1,0,17767681.14,0,0,0
36,0xSender00252,0xReceiver00031,3.433540909,98.84273173,301476,1673293575,1,1,0,0,29798711.39,0,0,0
37,0xSender00235,0xReceiver00270,0.21045799,45.55859707,100525,1673962678,1,1,1,5,4579777.97,0,0,0
38,0xSender00344,0xReceiver00484,4.388574716,174.0472141,124482,1673963604,1,2,0,2,21665745.31,0,5,0
39,0xSender00048,0xReceiver00396,0.248928226,39.65054632,173560,1672660863,2,1,1,0,6881748.819,0,0,0
40,0xSender00474,0xReceiver00004,4.628255993,137.7622994,369207,1672538553,1,1,0,0,50862805.28,0,1,1
41,0xSender00058,0xReceiver00458,8.057471689,129.2600002,99483,1674636930,1,1,1,0,12859172.6,0,0,0
42,0xSender00169,0xReceiver00329,4.397284382,105.0997962,413468,1673579789,1,1,20,0,43455402.54,0,0,0
43,0xSender00475,0xReceiver00307,29.0821886,70.08223208,243619,1673731418,1,1,0,0,17073363.3,0,0,0
44,0xSender00187,0xReceiver00332,3.042803291,92.71217,327353,1672842499,1,1,0,0,30349606.99,1,0,0
45,0xSender00463,0xReceiver00168,6.9080759,165.1504341,302376,1674983677,1,1,0,0,49937527.66,0,0,0
46,0xSender00270,0xReceiver00180,5.50126755,157.0791468,406137,1673714138,1,1,0,0,63795653.44,1,0,0
47,0xSender00189,0xReceiver00365,23.79842474,152.9856407,138031,1674345291,1,50,5,5,21116760.98,0,0,0
48,0xSender00445,0xReceiver00177,6.245182192,154.9682452,250081,1674756123,1,1,0,0,38754613.72,0,5,1
49,0xSender00174,0xReceiver00142,0.895817133,45.89954738,74685,1673444823,1,1,0,0,3428007.696,0,5,0
50,0xSender00445,0xReceiver00361,15.56332033,37.83736107,117521,1672590146,1,1,1,2,4446684.51,0,0,0
51,0xSender00050,0xReceiver00247,5.509747652,175.0697521,37545,1674314717,1,1,0,0,6572993.843,0,1,1
52,0xSender00363,0xReceiver00126,0.305858208,170.6914227,491856,1674865268,1,1,0,0,83955600.38,1,0,0
53,0xSender00054,0xReceiver00262,5.358415371,142.6372947,78847,1673869038,1,1,0,0,11246522.78,1,5,0
54,0xSender00243,0xReceiver00039,10.73301218,129.0630342,296491,1674916561,1,2,0,0,38266028.06,0,0,0
55,0xSender00319,0xReceiver00411,4.302410347,86.03690717,154706,1673930427,1,1,0,0,13310425.76,0,5,0
56,0xSender00130,0xReceiver00415,2.184930875,60.33486648,277457,1674101730,1,1,0,0,16740331.05,0,0,0
57,0xSender00484,0xReceiver00354,8.599323815,140.1781588,419317,1672838362,1,1,0,0,58779085.01,0,0,0
58,0xSender00306,0xReceiver00254,7.628058201,184.3462349,108686,1674004490,1,1,1,0,20035854.88,0,0,0
59,0xSender00134,0xReceiver00142,3.928310052,98.65938363,440186,1673206177,1,1,0,0,43428479.44,0,0,0
60,0xSender00020,0xReceiver00239,0.838318174,74.57824464,38893,1674818463,1,50,1,0,2900571.669,0,10,0
61,0xSender00328,0xReceiver00227,1.444991261,68.73352643,39703,1672942186,1,2,1,0,2728927.2,0,0,0
62,0xSender00166,0xReceiver00340,6.706298528,24.26694372,376506,1673922978,1,50,0,2,9136649.913,0,10,0
63,0xSender00273,0xReceiver00197,8.201603713,113.65701,43489,1673015515,1,1,1,0,4942829.708,0,1,0
64,0xSender00387,0xReceiver00064,1.637420701,197.8824854,127975,1672642805,1,1,0,0,25324011.07,0,0,0
65,0xSender00088,0xReceiver00387,2.294211365,166.7427889,393894,1672843757,1,2,1,0,65678984.09,0,0,0
66,0xSender00315,0xReceiver00010,0.404054392,181.5454493,472314,1674085225,1,2,5,0,85746457.33,0,0,0
67,0xSender00013,0xReceiver00107,6.249419681,131.8095373,450983,1673707381,1,1,0,0,59443860.57,0,1,1
68,0xSender00241,0xReceiver00025,0.017919797,106.6603539,275155,1673572839,1,50,1,0,29348129.67,0,0,0
69,0xSender00264,0xReceiver00444,0.238297005,198.2822613,212258,1673031499,1,10,0,0,42086996.23,0,5,0
70,0xSender00345,0xReceiver00420,0.021767653,100.4891799,233984,1672811268,1,1,0,0,23512860.27,0,0,0
71,0xSender00052,0xReceiver00150,5.182690649,185.0295036,40733,1674292185,1,1,0,0,7536806.771,0,1,0
72,0xSender00385,0xReceiver00220,2.701161701,157.1320656,97942,1673949209,2,1,1,0,15389828.77,0,1,0
73,0xSender00339,0xReceiver00340,1.765882221,79.57611654,245775,1673382039,1,2,0,0,19557820.04,0,5,0
74,0xSender00091,0xReceiver00495,12.19208195,110.551193,182731,1672774123,1,1,0,0,20201130.05,1,0,0
75,0xSender00366,0xReceiver00236,1.070936361,89.17925992,463759,1674922562,1,1,1,0,41357684.4,0,0,0
76,0xSender00443,0xReceiver00236,2.466304048,44.52018935,261982,1673274143,1,1,1,0,11663488.25,0,0,0
77,0xSender00454,0xReceiver00496,14.09310474,84.21798468,422167,1674167958,1,1,1,0,35554053.94,0,0,0
78,0xSender00427,0xReceiver00218,2.785277766,180.0151192,404663,1673782704,1,1,0,0,72845458.17,0,0,0
79,0xSender00263,0xReceiver00486,4.044964434,155.4744234,347561,1674226419,1,1,0,0,54036846.06,0,0,0
80,0xSender00430,0xReceiver00423,0.418739177,69.96459337,236765,1673180388,1,1,5,1,16565166.95,0,0,0
81,0xSender00034,0xReceiver00460,7.807201904,86.22439636,186078,1675101804,1,2,0,0,16044463.23,0,0,0
82,0xSender00205,0xReceiver00150,2.747475179,130.9581061,207936,1672953573,1,1,1,0,27230904.76,0,0,0
83,0xSender00080,0xReceiver00122,8.06008429,94.9051667,245132,1673183566,2,1,0,0,23264293.32,0,0,0
84,0xSender00419,0xReceiver00143,1.463792295,110.5479409,283884,1673674305,1,1,1,0,31382791.67,0,0,0
85,0xSender00049,0xReceiver00477,2.745050208,145.670314,377139,1673914959,1,1,1,2,54937956.55,0,0,0
86,0xSender00359,0xReceiver00188,7.721738414,104.1051527,273230,1674056201,1,2,5,0,28444650.86,0,0,0
87,0xSender00387,0xReceiver00254,18.22484245,54.37456214,492076,1675120095,1,1,0,0,26756417.04,1,0,0
88,0xSender00001,0xReceiver00067,0.307385524,113.7033087,445315,1673396027,1,1,1,5,50633788.92,0,0,0
89,0xSender00389,0xReceiver00103,8.368713702,84.10128144,392483,1673290543,1,1,0,0,33008323.24,0,0,0
90,0xSender00053,0xReceiver00335,1.788299055,72.33216112,292871,1672877904,1,1,0,0,21183992.36,0,0,0
91,0xSender00105,0xReceiver00158,4.000803986,79.059541,143179,1674970234,1,2,0,0,11319666.02,0,0,0
92,0xSender00259,0xReceiver00308,1.71310134,99.02039915,217976,1673515263,1,1,0,1,21584070.52,1,0,0
93,0xSender00309,0xReceiver00361,4.752411704,179.5903657,391911,1674613511,1,1,0,0,70383439.82,0,0,0
94,0xSender00476,0xReceiver00408,2.18325303,152.1302788,178605,1674654200,1,2,5,0,27171228.44,0,0,0
95,0xSender00190,0xReceiver00299,2.029437669,140.2187489,255285,1673499556,1,1,0,2,35795743.32,1,0,0
96,0xSender00401,0xReceiver00395,0.193383533,104.826838,182480,1673628324,1,1,0,0,19128801.39,0,0,0
97,0xSender00217,0xReceiver00089,0.794746576,20.32939049,124523,1674507706,1,1,5,0,2531476.692,0,1,0
98,0xSender00043,0xReceiver00356,12.44928635,81.29912806,348449,1674771960,1,10,0,0,28328599.87,0,0,0
99,0xSender00161,0xReceiver00255,31.81968632,166.3745672,390738,1672788350,1,2,0,0,65008865.64,0,0,0
100,0xSender00201,0xReceiver00495,7.582483953,89.87076371,257980,1672988972,2,1,0,1,23184859.62,1,0,0
101,0xSender00445,0xReceiver00352,1.690055474,121.4874425,429254,1674828943,1,1,0,0,52148970.65,0,1,0
