transaction_id,timestamp,block_number,sender,receiver,amount,gas_price,gas_used,transaction_fee,transaction_type,status,day_of_week,hour_of_day,nonce,sender_type,receiver_type
1,2023-04-26T23:23:58Z,10000439,0x9451f55a116da7ed47295a3e253a62ae3863c475,0xd26e69b1b94270207966fbe41faaa490b24ce4d9,17.59,180,52182,0.0094,token transfer,success,Wednesday,23,774,Contract,EOA
2,2023-07-10T18:20:37Z,10000274,0xff8af0705276f8b22e6f2f9b31fb5a5af42dcb28,0x3a276994dbb8d9d1753a08dda5d145856c119d16,36.9,190,73286,0.0139,transfer,success,Monday,18,378,EOA,EOA
3,2023-11-14T14:54:07Z,10000371,0x4972712fba9a7859a94b496c85658cdcad7ef466,0x1e1575f3a873fa5ae2e4dd3961d0a60e9f287d90,59.64,143,65354,0.0093,token transfer,success,Tuesday,14,393,EOA,EOA
4,2023-02-21T13:03:24Z,10000399,0x4673f1c4768eca49e8bea11208edc1721bc5b19c,0x027e08a3bed475752b8636277175aa36a81ded99,20.87,135,46158,0.0062,contract creation,success,Tuesday,13,648,EOA,EOA
5,2023-10-29T05:05:45Z,10000234,0x3a7faab815b12cc40fa78142d22731b99b3e6860,0xd01bbfc5d8e11a0a8327be894076e5f84ca9b4fc,91.52,101,71847,0.0073,transfer,success,Sunday,5,293,Contract,EOA
6,2023-12-19T17:17:47Z,10000099,0x9aea53957e54c2cc23654b6b57c30b94e79a307e,0x43c4bd3feeed7193deb31b020aab138935014385,50.97,69,59272,0.0041,token transfer,success,Tuesday,17,350,EOA,EOA
7,2023-06-22T14:49:05Z,10000440,0xff20aaccb796091866112ba5ad1ad0e4e49f85b8,0x84c46e616d324fde0baffe1ce33a5982f8b19c7f,79.24,198,47240,0.0094,token transfer,success,Thursday,14,718,EOA,EOA
8,2023-12-29T05:56:21Z,10000088,0xda919ea2f978cbc62b5caabe0b47d31c6e3eb7da,0xd3ddae72f7d35ea849abcf3e8298d5e1f5488562,71.82,49,56519,0.0028,contract creation,success,Friday,5,520,EOA,EOA
9,2023-09-09T21:23:54Z,10000041,0xed5e668c6842a64d251773316b27c078c01fac87,0xbb7692d2f0267d8331ce88577e451aec4536ee46,6.91,167,51292,0.0086,contract creation,success,Saturday,21,847,EOA,EOA
10,2023-05-07T10:53:06Z,10000218,0x98d37759cb76742aaa339f6d97fe30c543cb816b,0xe39bdf21dd4f9510f91ddf91fc1a1774554944d2,6.84,53,27455,0.0015,token transfer,success,Sunday,10,607,EOA,EOA
11,2023-04-16T20:52:11Z,10000412,0xfe16e36ef32c13b528740c6a12e2a9a7e5bb13a9,0xdfcf314eb3606bd5745131ad87a32af302585996,85.29,154,27172,0.0042,contract creation,success,Sunday,20,19,EOA,EOA
12,2023-03-13T16:38:50Z,10000058,0x90341c7cdc483944b3883c988c2cb065324d315b,0xf609de7cdd1075b2e4c6c3ae2057e2869989375f,14.43,75,57139,0.0043,token transfer,success,Monday,16,983,EOA,EOA
13,2023-03-18T18:17:46Z,10000136,0x905ad68b076eea20b50cbf9f4703693ec3197066,0x13582a5e3c756200b919cb15dd9d5caf89f2fe68,22.6,29,65322,0.0019,transfer,success,Saturday,18,571,EOA,EOA
14,2023-11-10T02:07:39Z,10000345,0x26da09cf7a6437a618a534813646fa8f8d66a1c4,0xd8510bfde2cf7fc188c37a2603234498272ca150,27.15,69,81628,0.0056,contract creation,success,Friday,2,193,EOA,EOA
15,2023-12-12T18:10:17Z,10000027,0xd022a10aeab026e3c1c3db13b3b861bf152a3f85,0x83f3a79c7efe172c183291247f0bc2efd4b70450,20.51,174,47591,0.0083,contract creation,success,Tuesday,18,80,EOA,EOA
